,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,accommodates,bedrooms,beds,instant_bookable,price,Clothing,Entertainment,Exercise,Kitchen,Luxury,Outdoor,Parking,Security,Streaming,Technology,Views,Ward,Privacy,review_scores_rating,Target
788,1.0,1.0,0.96,0.0,6,4.0,4.0,0,414.0,1,0,0,1,0,1,0,1,0,0,0,1,1,4.84,1
789,1.3098230912476723,0.9654562383612664,1.0,0.0,2,2.0,1.0,0,100.0,1,0,1,0,0,0,0,1,0,0,0,2,1,4.89,1
790,1.0,1.0,1.0,1.0,3,1.0,2.0,1,133.0,1,0,0,1,0,0,1,1,0,0,0,6,1,4.85,1
791,4.0,0.17,1.0,0.0,4,1.0,1.0,0,95.0,1,0,1,1,0,1,0,1,0,0,0,6,1,4.86,1
792,4.0,0.17,1.0,0.0,4,1.0,3.0,0,90.0,1,0,1,1,0,1,0,1,0,0,0,6,1,4.8,1
793,4.0,0.0,0.16,0.0,2,1.0,1.0,0,190.0,1,0,0,1,0,1,0,1,0,0,0,1,1,4.98,1
794,1.0,1.0,0.98,1.0,8,3.0,5.0,0,265.0,1,1,1,1,0,1,1,1,1,1,1,4,1,4.95,1
795,1.0,1.0,1.0,0.0,2,1.7702985856469355,1.0,1,123.0,1,0,0,1,0,1,0,1,0,0,0,1,1,4.7,0
796,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,2,4.0,1.0,0,40.0,0,0,0,0,0,0,1,1,0,0,0,5,2,4.38,0
797,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,5,1.0,1.0,0,95.0,1,0,0,0,0,0,1,1,0,0,0,6,1,4.83,1
798,1.0,1.0,1.0,1.0,3,1.0,2.0,1,149.0,1,1,0,1,0,1,0,1,0,0,0,6,1,4.96,1
799,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,4,1.0,2.0,1,88.0,1,0,0,1,0,0,1,1,0,0,0,5,1,4.86,1
800,1.3098230912476723,0.9654562383612664,0.9298995663090619,0.0,2,1.0,1.0,0,125.0,0,0,0,0,1,0,0,1,0,0,0,2,1,4.83,1
